id_pago,id_orden,metodo_pago,subtotal,propina_voluntaria,total_pagado
282,282,tarjeta_debito,20026,0,20026
283,283,tarjeta_credito,15317,1531,16848
284,284,tarjeta_debito,60015,0,60015
286,286,daviplata,66895,6689,73584
291,291,tarjeta_credito,31469,3146,34615
294,294,tarjeta_credito,116621,11662,128283
296,296,nequi,30507,3050,33557
297,297,tarjeta_credito,47784,4778,52562
299,299,tarjeta_credito,132851,13285,146136
300,300,daviplata,35820,3582,39402
301,301,tarjeta_debito,97502,0,97502
302,302,tarjeta_debito,140931,14093,155024
303,303,nequi,137060,13706,150766
306,306,nequi,120938,12093,133031
309,309,daviplata,37199,3719,40918
310,310,tarjeta_credito,67500,6750,74250
311,311,tarjeta_debito,51446,5144,56590
313,313,nequi,90341,0,90341
314,314,tarjeta_debito,28414,2841,31255
315,315,tarjeta_debito,131147,13114,144261
318,318,tarjeta_debito,49085,0,49085
319,319,daviplata,59645,5964,65609
320,320,daviplata,82792,0,82792
324,324,tarjeta_debito,49291,4929,54220
325,325,daviplata,46713,0,46713
326,326,nequi,118589,11858,130447
328,328,tarjeta_debito,135961,13596,149557
331,331,efectivo,73553,7355,80908
332,332,tarjeta_debito,40091,0,40091
333,333,nequi,25973,2597,28570
334,334,efectivo,130797,13079,143876
336,336,tarjeta_debito,43105,4310,47415
337,337,tarjeta_debito,44742,0,44742
339,339,nequi,82299,8229,90528
340,340,nequi,108953,10895,119848
341,341,daviplata,39970,0,39970
344,344,efectivo,54839,0,54839
345,345,daviplata,110447,11044,121491
346,346,tarjeta_credito,148133,0,148133
351,351,tarjeta_debito,99403,0,99403
352,352,tarjeta_credito,71399,7139,78538
353,353,nequi,139766,13976,153742
354,354,daviplata,86899,8689,95588
355,355,daviplata,105496,10549,116045
356,356,daviplata,87277,8727,96004
358,358,nequi,48712,0,48712
360,360,tarjeta_credito,131233,13123,144356
363,363,daviplata,16407,0,16407
364,364,daviplata,26774,2677,29451
368,368,efectivo,29176,0,29176
369,369,efectivo,47877,4787,52664
370,370,efectivo,73346,7334,80680
371,371,efectivo,35437,0,35437
373,373,efectivo,68700,6870,75570
374,374,efectivo,82556,0,82556
375,375,tarjeta_credito,128569,12856,141425
376,376,nequi,24651,2465,27116
377,377,nequi,90066,9006,99072
378,378,tarjeta_credito,70705,7070,77775
379,379,nequi,137243,0,137243
380,380,nequi,88143,8814,96957
381,381,tarjeta_credito,129274,0,129274
383,383,nequi,140011,14001,154012
384,384,tarjeta_credito,25598,2559,28157
385,385,nequi,39840,0,39840
387,387,tarjeta_debito,127569,12756,140325
388,388,daviplata,55996,5599,61595
389,389,daviplata,143606,0,143606
390,390,efectivo,22387,0,22387
396,396,daviplata,98195,0,98195
397,397,tarjeta_debito,24002,0,24002
399,399,nequi,139615,13961,153576
402,402,daviplata,52446,0,52446
403,403,nequi,126988,12698,139686
405,405,efectivo,58815,5881,64696
406,406,tarjeta_debito,55193,5519,60712
407,407,tarjeta_credito,67019,6701,73720
408,408,daviplata,16274,1627,17901
409,409,nequi,103952,0,103952
411,411,tarjeta_debito,82924,8292,91216
412,412,daviplata,57318,0,57318
413,413,tarjeta_debito,24871,2487,27358
414,414,efectivo,64729,0,64729
415,415,efectivo,132497,0,132497
416,416,tarjeta_debito,44615,0,44615
417,417,efectivo,37963,0,37963
419,419,efectivo,20880,0,20880
420,420,tarjeta_credito,43238,0,43238
421,421,tarjeta_debito,42008,0,42008
422,422,efectivo,95941,0,95941
424,424,tarjeta_credito,115443,11544,126987
425,425,tarjeta_debito,23849,2384,26233
427,427,tarjeta_debito,109557,10955,120512
428,428,tarjeta_debito,78135,7813,85948
430,430,efectivo,43473,4347,47820
432,432,tarjeta_debito,49790,4979,54769
433,433,tarjeta_credito,102233,0,102233
434,434,daviplata,48411,4841,53252
435,435,tarjeta_debito,101301,10130,111431
437,437,tarjeta_debito,72626,7262,79888
442,442,daviplata,56269,5626,61895
443,443,efectivo,138127,13812,151939
444,444,efectivo,140828,0,140828
446,446,efectivo,145710,14571,160281
447,447,efectivo,76778,7677,84455
448,448,efectivo,19471,1947,21418
449,449,tarjeta_credito,129402,0,129402
450,450,tarjeta_credito,69641,0,69641
451,451,tarjeta_credito,66273,0,66273
452,452,tarjeta_debito,98069,0,98069
453,453,efectivo,69909,6990,76899
454,454,tarjeta_credito,59135,0,59135
455,455,tarjeta_credito,19337,0,19337
457,457,daviplata,144984,0,144984
460,460,nequi,94257,9425,103682
461,461,tarjeta_debito,134438,0,134438
462,462,nequi,54104,0,54104
463,463,nequi,101006,0,101006
465,465,efectivo,63837,0,63837
466,466,efectivo,114343,11434,125777
467,467,tarjeta_debito,132233,0,132233
469,469,nequi,34762,3476,38238
470,470,efectivo,41260,4126,45386
471,471,nequi,138024,13802,151826
472,472,efectivo,49851,4985,54836
473,473,tarjeta_credito,39110,0,39110
475,475,nequi,76094,0,76094
476,476,nequi,58381,5838,64219
477,477,nequi,107276,10727,118003
484,484,efectivo,136555,0,136555
486,486,tarjeta_debito,131767,13176,144943
487,487,daviplata,16465,0,16465
488,488,tarjeta_credito,140870,0,140870
489,489,tarjeta_debito,100676,0,100676
494,494,tarjeta_credito,128986,0,128986
495,495,tarjeta_credito,96007,9600,105607
496,496,efectivo,141053,14105,155158
497,497,daviplata,59447,5944,65391
501,501,tarjeta_debito,61137,6113,67250
502,502,tarjeta_debito,80404,0,80404
505,505,tarjeta_debito,84587,0,84587
507,507,nequi,60958,6095,67053
508,508,daviplata,113112,11311,124423
509,509,tarjeta_debito,138028,13802,151830
511,511,efectivo,66811,6681,73492
513,513,nequi,82971,8297,91268
514,514,efectivo,136016,13601,149617
520,520,tarjeta_credito,21361,0,21361
521,521,nequi,148954,14895,163849
522,522,tarjeta_debito,31353,3135,34488
523,523,tarjeta_credito,29624,2962,32586
525,525,efectivo,122450,12245,134695
526,526,tarjeta_debito,77606,0,77606
530,530,tarjeta_debito,59002,0,59002
533,533,daviplata,43772,4377,48149
534,534,tarjeta_credito,117189,0,117189
535,535,nequi,109097,10909,120006
536,536,tarjeta_credito,40518,4051,44569
539,539,daviplata,135441,13544,148985
540,540,tarjeta_credito,60881,0,60881
542,542,daviplata,106562,10656,117218
543,543,nequi,18077,0,18077
544,544,tarjeta_credito,96460,9646,106106
545,545,efectivo,52790,0,52790
546,546,tarjeta_credito,76713,7671,84384
547,547,daviplata,54169,5416,59585
549,549,daviplata,77352,7735,85087
551,551,tarjeta_credito,38700,3870,42570
552,552,efectivo,128094,12809,140903
553,553,nequi,17909,1790,19699
554,554,nequi,144722,14472,159194
557,557,tarjeta_debito,105349,0,105349
560,560,tarjeta_credito,46551,4655,51206
561,561,nequi,52118,5211,57329
562,562,tarjeta_debito,48800,0,48800
563,563,tarjeta_credito,98228,0,98228
566,566,efectivo,137469,13746,151215
567,567,daviplata,54886,5488,60374
569,569,tarjeta_debito,115536,11553,127089
570,570,nequi,113265,11326,124591
571,571,tarjeta_credito,82446,8244,90690
572,572,tarjeta_credito,31845,3184,35029
576,576,daviplata,123306,0,123306
577,577,nequi,70023,7002,77025
578,578,nequi,113180,0,113180
579,579,tarjeta_debito,87092,8709,95801
580,580,efectivo,129697,12969,142666
587,587,tarjeta_debito,135156,13515,148671
593,593,nequi,66310,6631,72941
595,595,tarjeta_credito,77756,0,77756
598,598,efectivo,81117,0,81117
599,599,daviplata,65834,6583,72417
600,600,daviplata,118360,0,118360
601,601,daviplata,96406,0,96406
603,603,tarjeta_debito,108573,0,108573
604,604,daviplata,114712,11471,126183
605,605,daviplata,129277,12927,142204
606,606,nequi,41278,0,41278
607,607,daviplata,140756,14075,154831
608,608,tarjeta_debito,69092,0,69092
609,609,nequi,18424,1842,20266
610,610,nequi,51582,0,51582
611,611,efectivo,39663,3966,43629
612,612,tarjeta_debito,92581,9258,101839
613,613,tarjeta_debito,38495,0,38495
614,614,nequi,50327,5032,55359
615,615,tarjeta_debito,115047,0,115047
616,616,tarjeta_credito,26169,0,26169
617,617,nequi,16552,1655,18207
618,618,daviplata,101355,10135,111490
623,623,tarjeta_debito,79176,0,79176
624,624,nequi,85788,8578,94366
627,627,efectivo,115941,0,115941
629,629,nequi,145177,0,145177
630,630,tarjeta_credito,104559,0,104559
631,631,nequi,46816,4681,51497
632,632,tarjeta_debito,102275,0,102275
633,633,nequi,133411,13341,146752
634,634,daviplata,33490,0,33490
635,635,tarjeta_debito,49325,4932,54257
636,636,tarjeta_debito,18738,1873,20611
640,640,tarjeta_debito,66074,6607,72681
641,641,daviplata,47443,4744,52187
642,642,daviplata,59343,0,59343
643,643,nequi,145575,14557,160132
644,644,nequi,141214,14121,155335
645,645,daviplata,56221,0,56221
646,646,efectivo,91697,9169,100866
647,647,daviplata,89860,0,89860
655,655,tarjeta_credito,31013,3101,34114
656,656,daviplata,46254,0,46254
658,658,tarjeta_debito,25255,2525,27780
659,659,daviplata,131115,13111,144226
660,660,tarjeta_debito,101509,10150,111659
661,661,efectivo,131933,13193,145126
662,662,efectivo,97955,9795,107750
663,663,tarjeta_credito,17304,1730,19034
664,664,tarjeta_credito,62178,0,62178
665,665,efectivo,127083,12708,139791
667,667,efectivo,29951,2995,32946
670,670,tarjeta_credito,37526,0,37526
671,671,daviplata,96384,9638,106022
672,672,tarjeta_debito,99743,9974,109717
673,673,tarjeta_debito,89782,8978,98760
674,674,efectivo,137502,13750,151252
675,675,tarjeta_credito,110871,11087,121958
677,677,efectivo,32953,3295,36248
681,681,daviplata,108927,10892,119819
683,683,efectivo,43442,4344,47786
684,684,tarjeta_debito,134354,0,134354
685,685,tarjeta_debito,117527,11752,129279
686,686,tarjeta_credito,93702,9370,103072
687,687,efectivo,58014,0,58014
688,688,tarjeta_credito,59436,5943,65379
689,689,efectivo,62529,0,62529
697,697,tarjeta_debito,37698,3769,41467
698,698,daviplata,140074,14007,154081
701,701,nequi,43294,0,43294
704,704,nequi,98397,9839,108236
705,705,daviplata,83906,8390,92296
706,706,tarjeta_credito,33963,3396,37359
708,708,efectivo,90740,0,90740
711,711,tarjeta_credito,107893,10789,118682
713,713,daviplata,92894,9289,102183
715,715,daviplata,143546,0,143546
716,716,tarjeta_debito,138369,0,138369
718,718,nequi,103143,10314,113457
719,719,daviplata,84662,0,84662
722,722,nequi,110092,11009,121101
723,723,efectivo,148717,14871,163588
725,725,daviplata,78862,0,78862
726,726,efectivo,103350,10335,113685
730,730,tarjeta_credito,57783,5778,63561
731,731,tarjeta_debito,19328,1932,21260
733,733,nequi,72310,7231,79541
735,735,tarjeta_debito,121399,0,121399
736,736,tarjeta_credito,46710,0,46710
739,739,tarjeta_debito,128737,0,128737
740,740,nequi,35765,0,35765
742,742,tarjeta_debito,55797,5579,61376
743,743,efectivo,40333,0,40333
744,744,nequi,106566,10656,117222
745,745,tarjeta_debito,141909,14190,156099
746,746,tarjeta_credito,20969,2096,23065
751,751,efectivo,76664,0,76664
752,752,tarjeta_debito,67552,6755,74307
753,753,daviplata,76792,7679,84471
754,754,daviplata,41363,0,41363
755,755,nequi,85407,8540,93947
756,756,efectivo,48131,0,48131
758,758,nequi,85625,0,85625
760,760,tarjeta_debito,69729,0,69729
766,766,efectivo,67515,0,67515
767,767,daviplata,122646,12264,134910
769,769,tarjeta_credito,110060,11006,121066
770,770,nequi,41976,0,41976
771,771,efectivo,99271,9927,109198
772,772,nequi,115123,11512,126635
775,775,nequi,66345,6634,72979
777,777,efectivo,129989,0,129989
778,778,tarjeta_credito,88957,8895,97852
779,779,efectivo,54220,0,54220
781,781,daviplata,33629,0,33629
782,782,nequi,54907,5490,60397
783,783,efectivo,110675,11067,121742
784,784,tarjeta_debito,149528,0,149528
785,785,nequi,71445,7144,78589
788,788,tarjeta_credito,26069,2606,28675
789,789,nequi,55653,0,55653
791,791,efectivo,75183,7518,82701
792,792,efectivo,62934,6293,69227
795,795,daviplata,78823,0,78823
796,796,efectivo,68492,6849,75341
797,797,tarjeta_debito,58313,0,58313
800,800,nequi,22963,2296,25259
803,803,daviplata,83359,8335,91694
805,805,daviplata,89024,8902,97926
806,806,nequi,76338,0,76338
808,808,tarjeta_debito,97366,9736,107102
809,809,efectivo,123048,0,123048
810,810,efectivo,17190,0,17190
812,812,tarjeta_credito,103128,10312,113440
814,814,tarjeta_credito,97764,0,97764
815,815,efectivo,85987,8598,94585
816,816,tarjeta_debito,130017,0,130017
818,818,daviplata,20828,0,20828
819,819,tarjeta_credito,136347,0,136347
820,820,efectivo,39194,3919,43113
821,821,tarjeta_credito,58885,5888,64773
822,822,tarjeta_debito,138803,0,138803
823,823,tarjeta_debito,62729,6272,69001
824,824,nequi,92126,0,92126
825,825,tarjeta_debito,140482,0,140482
826,826,nequi,73067,7306,80373
827,827,efectivo,65132,6513,71645
828,828,daviplata,43659,4365,48024
829,829,nequi,69964,6996,76960
831,831,tarjeta_debito,66450,6645,73095
833,833,tarjeta_credito,55703,5570,61273
834,834,efectivo,70620,7062,77682
835,835,efectivo,87336,8733,96069
836,836,tarjeta_debito,136819,13681,150500
837,837,nequi,118639,11863,130502
840,840,tarjeta_debito,35524,0,35524
841,841,efectivo,129082,12908,141990
843,843,tarjeta_debito,90319,9031,99350
848,848,tarjeta_debito,77768,7776,85544
851,851,daviplata,110563,11056,121619
853,853,tarjeta_credito,102146,0,102146
854,854,tarjeta_debito,74459,0,74459
855,855,daviplata,119284,0,119284
858,858,tarjeta_credito,131621,13162,144783
860,860,daviplata,103208,0,103208
861,861,tarjeta_credito,117987,11798,129785
862,862,tarjeta_credito,59489,0,59489
863,863,nequi,125601,12560,138161
867,867,tarjeta_credito,68173,6817,74990
869,869,tarjeta_debito,137357,13735,151092
870,870,nequi,121086,12108,133194
871,871,tarjeta_debito,78977,0,78977
873,873,daviplata,41132,4113,45245
874,874,efectivo,42057,4205,46262
878,878,daviplata,88375,0,88375
881,881,efectivo,43803,0,43803
882,882,efectivo,132459,13245,145704
884,884,nequi,17747,1774,19521
885,885,daviplata,71581,7158,78739
886,886,tarjeta_debito,103841,10384,114225
889,889,daviplata,44796,4479,49275
892,892,tarjeta_debito,15152,1515,16667
893,893,nequi,36310,3631,39941
894,894,tarjeta_debito,54929,0,54929
895,895,nequi,144154,14415,158569
897,897,tarjeta_debito,58697,0,58697
898,898,efectivo,75360,0,75360
899,899,efectivo,50190,5019,55209
904,904,tarjeta_credito,34676,3467,38143
905,905,tarjeta_credito,40802,0,40802
910,910,tarjeta_credito,25107,2510,27617
911,911,tarjeta_debito,66064,6606,72670
912,912,tarjeta_debito,86594,8659,95253
913,913,tarjeta_debito,89357,0,89357
918,918,efectivo,62238,0,62238
922,922,efectivo,26330,2633,28963
923,923,nequi,99436,0,99436
924,924,nequi,146191,0,146191
927,927,efectivo,44647,4464,49111
928,928,daviplata,43453,0,43453
929,929,nequi,78831,7883,86714
933,933,nequi,149201,0,149201
934,934,efectivo,100155,10015,110170
939,939,daviplata,87497,8749,96246
942,942,tarjeta_credito,50737,5073,55810
943,943,daviplata,31883,3188,35071
945,945,tarjeta_debito,108454,0,108454
948,948,nequi,116239,0,116239
949,949,nequi,115014,0,115014
950,950,efectivo,57499,0,57499
951,951,tarjeta_debito,98573,0,98573
952,952,daviplata,108323,0,108323
953,953,daviplata,42926,4292,47218
954,954,daviplata,95873,9587,105460
955,955,tarjeta_debito,112807,11280,124087
957,957,nequi,42418,0,42418
960,960,daviplata,31399,3139,34538
961,961,efectivo,85506,0,85506
962,962,efectivo,17079,0,17079
965,965,tarjeta_debito,51053,0,51053
966,966,tarjeta_credito,54490,0,54490
967,967,tarjeta_debito,52176,5217,57393
968,968,nequi,137587,0,137587
970,970,tarjeta_credito,61197,6119,67316
972,972,tarjeta_debito,103214,10321,113535
973,973,tarjeta_debito,108179,0,108179
978,978,nequi,126793,12679,139472
981,981,efectivo,52904,0,52904
983,983,tarjeta_debito,34722,3472,38194
985,985,tarjeta_debito,33057,3305,36362
986,986,tarjeta_credito,87974,0,87974
988,988,nequi,132391,0,132391
990,990,nequi,112424,0,112424
992,992,tarjeta_debito,49897,0,49897
995,995,nequi,60833,6083,66916
996,996,tarjeta_debito,36203,0,36203
997,997,daviplata,72607,7260,79867
999,999,tarjeta_debito,36503,3650,40153
1000,1000,tarjeta_debito,61007,6100,67107
1001,1001,tarjeta_debito,136565,0,136565
1002,1002,efectivo,121809,12180,133989
1004,1004,tarjeta_debito,94832,9483,104315
1005,1005,daviplata,142731,14273,157004
1006,1006,nequi,89059,8905,97964
1009,1009,efectivo,41673,4167,45840
1011,1011,nequi,41060,4106,45166
1012,1012,efectivo,111338,11133,122471
1013,1013,tarjeta_credito,78815,0,78815
1014,1014,tarjeta_debito,96891,0,96891
1015,1015,tarjeta_credito,113885,0,113885
1016,1016,daviplata,18901,0,18901
1017,1017,efectivo,92634,9263,101897
1018,1018,nequi,74747,0,74747
1020,1020,daviplata,96636,9663,106299
1021,1021,nequi,20677,0,20677
1022,1022,nequi,18371,0,18371
1024,1024,daviplata,145409,0,145409
1025,1025,daviplata,69765,6976,76741
1026,1026,daviplata,57068,5706,62774
1027,1027,nequi,29696,2969,32665
1028,1028,nequi,93137,9313,102450
1029,1029,nequi,77061,0,77061
1030,1030,tarjeta_debito,95048,9504,104552
1032,1032,tarjeta_debito,112123,0,112123
1033,1033,tarjeta_credito,75894,0,75894
1039,1039,tarjeta_credito,44712,4471,49183
1040,1040,nequi,27048,2704,29752
1042,1042,daviplata,102137,10213,112350
1043,1043,efectivo,28340,0,28340
1044,1044,efectivo,52355,5235,57590
1045,1045,daviplata,36834,3683,40517
1046,1046,tarjeta_credito,133149,13314,146463
1047,1047,daviplata,63839,6383,70222
1048,1048,daviplata,73715,7371,81086
1051,1051,efectivo,100238,0,100238
1052,1052,efectivo,99729,9972,109701
1054,1054,daviplata,72396,7239,79635
1056,1056,tarjeta_debito,134686,0,134686
1057,1057,nequi,94998,9499,104497
1059,1059,tarjeta_debito,15610,1561,17171
1060,1060,efectivo,96018,9601,105619
1061,1061,efectivo,48625,4862,53487
1062,1062,tarjeta_credito,51525,0,51525
1065,1065,nequi,62318,6231,68549
1067,1067,nequi,31850,0,31850
1068,1068,tarjeta_debito,112223,11222,123445
1070,1070,daviplata,39973,3997,43970
1072,1072,daviplata,140822,0,140822
1073,1073,daviplata,21510,0,21510
1075,1075,tarjeta_credito,143684,0,143684
1076,1076,tarjeta_credito,92861,0,92861
1077,1077,daviplata,73225,7322,80547
1079,1079,daviplata,94479,0,94479
1080,1080,nequi,71001,7100,78101
1081,1081,nequi,41009,0,41009
1082,1082,nequi,53188,5318,58506
1084,1084,daviplata,70185,7018,77203
1090,1090,nequi,64535,0,64535
1091,1091,daviplata,121172,0,121172
1092,1092,tarjeta_debito,25674,0,25674
1093,1093,daviplata,99315,9931,109246
1094,1094,nequi,84079,8407,92486
1096,1096,efectivo,47858,4785,52643
1098,1098,tarjeta_debito,138975,0,138975
1100,1100,daviplata,115082,11508,126590
1102,1102,nequi,121500,12150,133650
1103,1103,tarjeta_credito,62133,6213,68346
1104,1104,tarjeta_debito,28691,0,28691
1113,1113,tarjeta_credito,118995,11899,130894
1115,1115,daviplata,81436,8143,89579
1117,1117,nequi,24995,2499,27494
1118,1118,tarjeta_debito,135507,13550,149057
1119,1119,efectivo,45927,0,45927
1120,1120,daviplata,101301,0,101301
1121,1121,tarjeta_debito,98869,0,98869
1122,1122,daviplata,123939,12393,136332
1123,1123,tarjeta_debito,36443,0,36443
1125,1125,tarjeta_debito,16913,1691,18604
1126,1126,tarjeta_debito,54343,0,54343
1128,1128,daviplata,99059,0,99059
1131,1131,daviplata,143400,14340,157740
1133,1133,daviplata,63815,6381,70196
1134,1134,daviplata,140044,14004,154048
1135,1135,tarjeta_credito,127796,12779,140575
1137,1137,tarjeta_debito,69305,6930,76235
1138,1138,daviplata,107546,0,107546
1139,1139,daviplata,30225,3022,33247
1140,1140,tarjeta_credito,135733,0,135733
1141,1141,tarjeta_debito,86607,8660,95267
1143,1143,tarjeta_debito,58169,5816,63985
1145,1145,efectivo,144754,0,144754
1147,1147,efectivo,40434,0,40434
1148,1148,tarjeta_credito,101687,10168,111855
1149,1149,daviplata,123294,12329,135623
1151,1151,efectivo,22946,0,22946
1153,1153,tarjeta_credito,70396,0,70396
1154,1154,tarjeta_debito,103981,0,103981
1155,1155,daviplata,74955,7495,82450
1156,1156,efectivo,88862,8886,97748
1159,1159,efectivo,44894,4489,49383
1162,1162,daviplata,123339,0,123339
1163,1163,tarjeta_debito,24187,0,24187
1164,1164,nequi,88619,0,88619
1165,1165,efectivo,58420,5842,64262
1166,1166,tarjeta_credito,140047,0,140047
1167,1167,tarjeta_credito,83984,0,83984
1168,1168,daviplata,142671,0,142671
1172,1172,nequi,66860,0,66860
1173,1173,efectivo,79579,7957,87536
1175,1175,nequi,62181,6218,68399
1177,1177,tarjeta_debito,21580,2158,23738
1178,1178,tarjeta_debito,38357,3835,42192
1180,1180,daviplata,16655,0,16655
1181,1181,tarjeta_debito,85567,0,85567
1184,1184,tarjeta_debito,45825,4582,50407
1186,1186,tarjeta_credito,89365,8936,98301
1187,1187,nequi,106772,0,106772
1188,1188,tarjeta_debito,143519,0,143519
1192,1192,efectivo,47566,4756,52322
