id_orden,id_cliente,id_mesero,tipo_pedido,numero_mesa,fecha_orden,estado_orden
50,851,4,para_llevar,,2025-12-13 06:46:32,pagada
51,1438,1,para_llevar,,2025-07-21 16:45:23,pagada
52,1086,3,en_mesa,15.0,2025-11-01 10:46:04,pagada
53,1341,2,para_llevar,,2025-05-23 17:26:30,cortesia
54,1101,5,domicilio,,2025-06-20 02:22:51,pagada
55,1016,2,para_llevar,,2026-01-08 19:51:37,cortesia
56,902,2,en_mesa,11.0,2025-11-25 19:16:55,pagada
57,1018,3,para_llevar,,2025-05-05 08:49:35,pagada
58,1184,5,domicilio,,2025-03-31 17:52:34,cortesia
59,1339,5,domicilio,,2025-11-12 02:23:15,cortesia
60,1292,5,domicilio,,2025-12-10 16:48:20,pagada
61,164,2,domicilio,,2025-05-09 13:55:09,pagada
62,330,2,para_llevar,,2025-06-04 15:37:11,pagada
63,1248,4,para_llevar,,2026-03-14 16:19:46,cortesia
64,973,1,domicilio,,2025-08-04 00:57:15,anulada
65,1007,1,para_llevar,,2025-06-01 11:39:50,pagada
66,321,1,para_llevar,,2025-05-19 23:51:33,anulada
67,618,1,en_mesa,2.0,2025-07-26 17:53:05,pagada
68,1198,3,en_mesa,4.0,2025-05-04 03:52:05,pagada
69,531,2,domicilio,,2025-06-13 00:38:24,pagada
70,1338,5,en_mesa,5.0,2026-02-09 11:55:39,cortesia
71,136,1,en_mesa,15.0,2026-02-20 19:09:51,anulada
72,974,1,domicilio,,2025-12-07 22:18:53,pagada
73,158,1,en_mesa,8.0,2026-02-24 05:46:35,cortesia
74,362,5,domicilio,,2026-02-17 10:54:52,pagada
75,402,1,para_llevar,,2026-02-04 18:24:05,pagada
76,130,1,en_mesa,13.0,2026-01-18 19:34:16,pagada
77,1268,4,en_mesa,12.0,2025-08-20 03:03:09,anulada
78,1497,1,en_mesa,7.0,2026-03-30 04:07:21,cortesia
79,520,5,para_llevar,,2025-10-02 00:02:58,pagada
80,793,3,domicilio,,2025-04-11 11:39:25,anulada
81,846,2,domicilio,,2026-01-13 11:37:20,cortesia
82,1399,4,domicilio,,2025-05-19 14:32:31,pagada
83,785,3,en_mesa,9.0,2025-04-26 23:35:05,pagada
84,976,3,para_llevar,,2025-11-22 02:12:40,pagada
85,251,2,en_mesa,10.0,2025-05-17 17:46:35,pagada
86,608,5,en_mesa,4.0,2025-09-17 17:02:23,pagada
87,872,1,domicilio,,2025-10-29 12:25:23,pagada
88,1134,5,en_mesa,14.0,2026-03-05 04:09:01,pagada
89,49,5,domicilio,,2025-09-20 12:29:48,pagada
90,784,1,para_llevar,,2025-11-14 15:34:41,pagada
91,572,1,en_mesa,12.0,2025-12-27 22:46:42,pagada
92,1183,2,para_llevar,,2025-12-11 20:13:22,pagada
93,857,3,para_llevar,,2025-12-02 20:17:46,pagada
94,1098,5,para_llevar,,2025-04-22 14:16:50,cortesia
95,793,2,para_llevar,,2025-12-28 09:20:32,pagada
96,1026,2,en_mesa,15.0,2025-05-31 20:33:29,pagada
97,457,4,domicilio,,2025-11-29 18:19:50,pagada
98,940,1,para_llevar,,2026-02-24 22:53:30,pagada
99,1493,1,para_llevar,,2026-03-12 00:06:12,pagada
100,235,5,en_mesa,12.0,2025-11-29 21:20:22,pagada
101,1314,1,en_mesa,3.0,2025-10-26 03:22:31,anulada
102,845,4,domicilio,,2025-09-25 12:30:02,pagada
103,162,1,para_llevar,,2026-01-10 23:21:07,pagada
104,1342,5,en_mesa,15.0,2025-10-26 18:16:42,pagada
105,503,3,para_llevar,,2026-01-11 19:53:22,cortesia
106,486,2,domicilio,,2026-02-12 02:23:35,pagada
107,817,5,en_mesa,11.0,2026-02-08 11:57:33,anulada
108,7,2,en_mesa,5.0,2025-11-23 13:08:31,anulada
109,603,4,domicilio,,2025-10-13 19:26:14,cortesia
110,1426,3,para_llevar,,2026-03-17 04:59:22,cortesia
111,1032,3,en_mesa,13.0,2025-07-09 03:21:01,pagada
112,1487,5,en_mesa,3.0,2026-03-20 02:50:41,pagada
113,47,3,domicilio,,2025-06-12 12:52:33,cortesia
114,809,1,en_mesa,8.0,2025-11-30 22:18:15,pagada
115,156,5,domicilio,,2026-03-05 17:21:22,pagada
116,153,2,para_llevar,,2026-03-21 08:19:20,pagada
117,401,5,domicilio,,2025-07-15 04:17:51,pagada
118,698,4,para_llevar,,2025-12-21 13:32:18,anulada
119,1052,5,en_mesa,15.0,2026-01-04 05:30:26,pagada
120,408,3,en_mesa,13.0,2025-07-18 13:08:33,pagada
121,616,4,en_mesa,12.0,2025-07-08 02:01:09,pagada
122,1251,1,para_llevar,,2025-09-08 01:00:39,pagada
123,1052,5,domicilio,,2025-09-09 13:24:56,pagada
124,858,1,domicilio,,2025-04-16 06:22:38,pagada
125,506,2,domicilio,,2026-03-08 23:52:41,pagada
126,1307,1,para_llevar,,2026-02-18 23:03:46,pagada
127,375,1,en_mesa,4.0,2026-01-23 17:24:26,pagada
128,1419,5,para_llevar,,2026-02-10 21:57:52,pagada
129,643,1,domicilio,,2026-03-22 07:20:01,pagada
130,1181,5,en_mesa,15.0,2025-11-20 05:12:29,anulada
131,130,5,en_mesa,12.0,2025-11-21 10:14:13,anulada
132,469,2,domicilio,,2025-07-08 04:59:06,anulada
133,125,2,para_llevar,,2025-08-27 06:22:10,anulada
134,686,4,domicilio,,2026-01-20 07:57:34,anulada
135,640,1,en_mesa,12.0,2025-04-03 11:36:24,pagada
136,543,4,domicilio,,2025-09-18 07:24:23,anulada
137,20,1,para_llevar,,2025-11-09 00:14:47,pagada
138,1228,4,domicilio,,2025-05-10 13:45:42,anulada
139,882,4,para_llevar,,2025-04-21 01:06:22,pagada
140,776,5,para_llevar,,2025-04-26 18:07:55,pagada
141,460,4,en_mesa,1.0,2025-08-07 19:01:28,pagada
142,1359,5,en_mesa,13.0,2025-10-12 14:34:13,pagada
143,1122,2,en_mesa,11.0,2025-04-09 02:22:49,cortesia
144,594,2,en_mesa,7.0,2025-12-19 02:34:10,pagada
145,1245,4,domicilio,,2025-12-05 09:31:06,pagada
146,1148,2,domicilio,,2025-04-02 00:54:33,cortesia
147,1079,3,para_llevar,,2025-11-22 04:19:15,pagada
148,214,2,domicilio,,2026-01-17 17:24:57,pagada
149,1125,5,en_mesa,14.0,2026-03-08 17:55:52,pagada
150,943,4,para_llevar,,2025-04-04 19:35:22,cortesia
151,884,2,en_mesa,3.0,2026-01-31 22:04:16,cortesia
152,1283,5,en_mesa,14.0,2026-01-01 02:24:55,pagada
153,586,5,domicilio,,2025-08-26 20:21:23,pagada
154,54,2,para_llevar,,2025-12-29 07:08:54,anulada
155,1024,4,domicilio,,2025-10-02 04:26:00,cortesia
156,398,4,domicilio,,2025-07-18 00:29:22,pagada
157,1312,5,para_llevar,,2025-10-17 06:34:47,anulada
158,477,3,en_mesa,6.0,2025-07-16 23:32:09,cortesia
159,819,1,domicilio,,2025-06-04 07:01:26,anulada
160,183,1,para_llevar,,2025-06-13 18:21:22,pagada
161,1448,4,en_mesa,5.0,2025-11-08 23:47:16,anulada
162,82,2,domicilio,,2026-01-16 08:41:57,pagada
163,1027,1,en_mesa,10.0,2025-12-09 18:15:24,cortesia
164,528,2,para_llevar,,2025-04-19 04:44:25,anulada
165,955,1,para_llevar,,2026-02-08 02:51:11,cortesia
166,913,2,domicilio,,2025-08-26 16:17:49,pagada
167,739,4,para_llevar,,2025-07-25 14:55:05,anulada
168,327,2,en_mesa,13.0,2025-08-12 00:41:49,pagada
169,120,4,domicilio,,2026-01-21 03:07:30,anulada
170,27,3,para_llevar,,2026-02-16 14:31:28,anulada
171,896,3,para_llevar,,2025-08-03 02:24:57,pagada
172,1440,3,domicilio,,2025-07-21 23:22:13,anulada
173,309,2,en_mesa,14.0,2025-08-21 13:52:13,cortesia
174,467,4,domicilio,,2025-05-16 00:57:20,cortesia
175,892,5,en_mesa,11.0,2026-03-11 07:05:22,pagada
176,304,1,en_mesa,5.0,2026-01-17 23:07:57,pagada
177,1278,1,para_llevar,,2026-01-21 05:05:21,cortesia
178,10,2,para_llevar,,2025-10-31 23:19:58,pagada
179,1323,3,domicilio,,2025-04-07 04:01:57,pagada
180,1419,1,para_llevar,,2025-04-13 09:21:46,pagada
181,992,3,domicilio,,2025-04-11 07:09:09,pagada
182,1191,5,para_llevar,,2025-08-08 11:41:00,cortesia
183,94,5,en_mesa,8.0,2025-09-21 07:10:58,cortesia
184,38,1,en_mesa,3.0,2025-06-15 06:36:33,pagada
185,1367,4,para_llevar,,2025-05-16 20:09:48,pagada
186,687,3,domicilio,,2025-11-04 16:45:50,cortesia
187,413,2,en_mesa,12.0,2025-12-20 07:58:12,pagada
188,507,3,en_mesa,13.0,2025-04-20 17:03:56,pagada
189,348,5,en_mesa,10.0,2025-12-03 13:44:51,pagada
190,243,5,en_mesa,7.0,2025-04-27 23:28:49,pagada
191,1394,4,en_mesa,10.0,2025-11-17 06:23:21,cortesia
192,508,2,domicilio,,2026-02-18 03:10:25,pagada
193,934,3,para_llevar,,2025-05-15 10:10:39,pagada
194,1217,1,en_mesa,4.0,2025-05-03 06:35:37,cortesia
195,318,2,domicilio,,2025-08-11 07:10:09,pagada
196,494,2,en_mesa,8.0,2025-09-03 10:56:10,pagada
197,644,2,para_llevar,,2026-01-14 08:56:26,pagada
198,33,4,domicilio,,2025-04-11 03:35:05,pagada
199,685,4,domicilio,,2026-02-23 00:30:34,pagada
200,1402,5,para_llevar,,2026-02-28 07:31:32,anulada
201,463,2,en_mesa,10.0,2026-03-09 20:55:34,anulada
202,1348,4,en_mesa,13.0,2026-02-20 20:13:48,cortesia
203,1144,3,en_mesa,11.0,2025-04-05 22:30:25,pagada
204,1156,1,para_llevar,,2025-07-22 19:53:45,cortesia
205,297,5,para_llevar,,2026-02-10 22:39:09,cortesia
206,990,2,en_mesa,12.0,2025-07-15 15:23:17,cortesia
207,1239,2,en_mesa,7.0,2025-08-09 14:21:57,pagada
208,815,4,en_mesa,12.0,2025-10-30 17:31:13,pagada
209,932,4,en_mesa,5.0,2025-11-22 17:40:07,pagada
210,685,4,domicilio,,2025-08-10 18:06:30,pagada
211,1017,3,para_llevar,,2025-11-19 17:09:39,cortesia
212,937,1,en_mesa,11.0,2026-02-13 22:00:10,cortesia
213,1037,3,para_llevar,,2025-06-15 12:31:56,anulada
214,108,3,domicilio,,2025-04-12 12:09:13,pagada
215,1093,3,en_mesa,14.0,2025-05-29 01:50:45,cortesia
216,30,4,para_llevar,,2025-08-15 05:00:59,pagada
217,1027,5,para_llevar,,2025-04-19 16:06:27,cortesia
218,25,2,domicilio,,2026-01-04 02:42:45,anulada
219,908,5,domicilio,,2026-01-12 14:58:40,cortesia
220,617,4,en_mesa,15.0,2025-09-14 07:26:21,cortesia
221,928,1,en_mesa,5.0,2025-12-15 18:15:35,pagada
222,1420,3,domicilio,,2025-11-10 13:48:02,pagada
223,900,2,domicilio,,2025-09-10 16:54:30,cortesia
224,1483,1,domicilio,,2025-06-29 23:50:53,pagada
225,811,2,en_mesa,11.0,2025-06-25 16:55:19,cortesia
226,233,4,domicilio,,2025-11-28 14:10:10,pagada
227,1152,2,domicilio,,2025-11-16 04:54:03,anulada
228,338,5,en_mesa,1.0,2025-04-27 04:55:33,pagada
229,1384,1,para_llevar,,2026-02-10 05:45:58,pagada
230,645,2,para_llevar,,2025-04-05 00:27:13,anulada
231,1099,4,en_mesa,7.0,2026-02-07 19:21:00,pagada
232,336,2,para_llevar,,2025-07-16 23:29:20,pagada
233,1474,2,domicilio,,2026-01-19 09:25:41,pagada
234,1212,5,para_llevar,,2026-03-01 02:29:43,pagada
235,790,3,en_mesa,14.0,2025-07-30 12:02:48,pagada
236,1209,5,para_llevar,,2025-07-15 19:43:55,pagada
237,345,1,en_mesa,10.0,2025-11-30 19:25:49,pagada
238,444,5,domicilio,,2025-11-08 17:25:18,pagada
239,916,2,para_llevar,,2026-03-07 17:01:33,pagada
240,1377,1,para_llevar,,2025-07-13 18:25:37,anulada
241,1265,2,para_llevar,,2025-06-01 14:09:55,cortesia
242,1490,2,para_llevar,,2025-11-28 13:43:15,pagada
243,919,2,para_llevar,,2025-10-01 08:24:18,cortesia
244,920,3,para_llevar,,2025-06-13 02:02:22,pagada
245,226,2,para_llevar,,2025-07-01 11:00:49,pagada
246,683,4,para_llevar,,2025-08-03 10:29:40,anulada
247,1084,4,para_llevar,,2025-11-25 04:16:23,pagada
248,1012,2,domicilio,,2025-12-19 07:12:12,pagada
249,690,4,domicilio,,2025-07-16 13:27:23,pagada
250,269,5,domicilio,,2026-01-14 22:10:17,pagada
251,647,1,en_mesa,5.0,2025-08-19 15:38:01,pagada
252,1100,1,domicilio,,2026-03-05 21:13:21,pagada
253,1223,5,domicilio,,2025-12-10 19:01:56,pagada
254,103,2,domicilio,,2025-05-04 15:12:50,pagada
255,1034,3,en_mesa,8.0,2026-03-11 03:29:14,pagada
256,595,2,domicilio,,2025-12-26 06:03:34,anulada
257,152,2,en_mesa,3.0,2025-10-17 01:33:36,pagada
258,257,3,domicilio,,2026-02-16 19:46:07,pagada
259,594,2,en_mesa,10.0,2025-05-28 23:37:37,pagada
260,1112,5,en_mesa,4.0,2026-02-16 23:38:37,pagada
261,92,3,para_llevar,,2025-05-21 11:58:26,pagada
262,1370,3,en_mesa,6.0,2025-11-23 09:47:53,cortesia
263,1335,1,domicilio,,2025-08-18 10:02:28,cortesia
264,1299,3,en_mesa,1.0,2025-10-19 15:13:03,cortesia
265,1347,4,domicilio,,2026-01-16 09:33:45,pagada
266,900,1,en_mesa,11.0,2025-05-31 06:49:27,pagada
267,283,3,en_mesa,5.0,2025-10-13 16:05:00,cortesia
268,1170,5,en_mesa,15.0,2025-10-30 11:40:33,pagada
269,607,2,en_mesa,13.0,2025-10-13 19:59:04,pagada
270,205,5,domicilio,,2025-08-29 07:06:45,pagada
271,599,2,domicilio,,2026-03-17 01:46:59,pagada
272,1307,4,para_llevar,,2025-04-30 01:16:48,pagada
273,292,5,para_llevar,,2026-03-12 19:30:26,pagada
274,753,2,en_mesa,13.0,2025-08-14 20:02:34,pagada
275,152,2,domicilio,,2025-10-25 02:14:32,pagada
276,1193,2,domicilio,,2025-04-21 17:57:52,pagada
277,1485,2,para_llevar,,2025-05-08 07:01:49,anulada
278,1222,1,en_mesa,6.0,2025-09-27 03:41:53,pagada
279,441,5,para_llevar,,2026-02-17 17:36:24,pagada
280,1477,4,domicilio,,2026-01-12 14:50:01,pagada
281,1266,5,para_llevar,,2025-07-01 12:21:10,cortesia
282,663,2,domicilio,,2026-02-14 00:30:20,pagada
283,405,4,en_mesa,1.0,2025-08-31 00:40:00,pagada
284,423,5,domicilio,,2025-06-01 04:19:41,pagada
285,520,4,en_mesa,1.0,2025-12-24 08:40:03,anulada
286,1227,5,para_llevar,,2025-08-15 21:17:13,pagada
287,693,3,domicilio,,2026-01-07 00:46:17,anulada
288,1242,5,para_llevar,,2025-11-10 03:59:58,anulada
289,1403,5,para_llevar,,2026-02-19 18:39:05,cortesia
290,996,4,en_mesa,12.0,2025-12-24 11:29:00,anulada
291,91,3,para_llevar,,2025-08-31 21:36:04,pagada
292,1006,3,para_llevar,,2025-12-21 18:20:43,cortesia
293,1144,4,para_llevar,,2026-03-15 11:57:43,anulada
294,1365,3,para_llevar,,2026-03-14 20:09:37,pagada
295,595,4,para_llevar,,2026-02-01 07:47:07,anulada
296,653,3,para_llevar,,2025-05-29 18:04:29,pagada
297,55,3,para_llevar,,2026-03-22 12:12:31,pagada
298,41,3,para_llevar,,2025-04-10 07:11:48,cortesia
299,43,3,para_llevar,,2025-06-30 09:12:11,pagada
300,88,3,en_mesa,7.0,2025-04-29 02:34:01,pagada
301,62,5,domicilio,,2026-01-17 15:15:21,pagada
302,1274,5,para_llevar,,2025-12-13 03:48:54,pagada
303,1488,3,en_mesa,5.0,2025-10-07 15:00:17,pagada
304,829,2,en_mesa,7.0,2025-04-01 15:18:34,anulada
305,230,5,para_llevar,,2026-02-03 20:33:02,cortesia
306,65,5,domicilio,,2025-04-09 02:53:37,pagada
307,332,1,para_llevar,,2025-12-13 07:17:12,cortesia
308,1257,4,en_mesa,11.0,2025-04-24 14:19:29,anulada
309,178,4,domicilio,,2025-04-15 23:38:36,pagada
310,699,3,para_llevar,,2025-10-19 20:31:22,pagada
311,237,4,para_llevar,,2025-04-12 02:19:42,pagada
312,494,4,domicilio,,2025-07-21 15:15:41,anulada
313,424,5,domicilio,,2025-07-05 13:53:46,pagada
314,1462,3,en_mesa,6.0,2025-12-15 05:42:55,pagada
315,1253,4,domicilio,,2025-11-25 03:21:18,pagada
316,1137,2,domicilio,,2025-10-18 23:12:07,anulada
317,1132,5,para_llevar,,2025-11-15 15:27:32,cortesia
318,989,3,domicilio,,2026-02-23 04:05:59,pagada
319,1055,5,para_llevar,,2025-10-03 10:18:22,pagada
320,128,5,para_llevar,,2026-02-26 11:24:34,pagada
321,686,1,para_llevar,,2026-01-16 23:13:07,anulada
322,1376,2,domicilio,,2026-01-23 14:50:00,cortesia
323,159,2,domicilio,,2025-09-15 09:36:41,cortesia
324,281,5,en_mesa,8.0,2025-09-24 09:40:15,pagada
325,882,4,en_mesa,5.0,2025-12-14 03:26:03,pagada
326,511,4,en_mesa,2.0,2025-05-21 19:41:14,pagada
327,1337,3,para_llevar,,2025-04-24 23:04:59,cortesia
328,1129,2,en_mesa,8.0,2026-02-05 12:56:19,pagada
329,1348,4,en_mesa,11.0,2025-11-22 12:40:04,anulada
330,465,4,para_llevar,,2025-11-11 08:51:18,cortesia
331,948,1,en_mesa,14.0,2025-07-04 17:26:29,pagada
332,230,5,domicilio,,2025-09-18 19:12:21,pagada
333,1159,2,para_llevar,,2025-10-11 20:26:22,pagada
334,102,4,en_mesa,10.0,2025-10-10 06:14:15,pagada
335,172,1,en_mesa,6.0,2025-08-24 14:34:37,anulada
336,21,5,en_mesa,15.0,2026-03-03 03:27:42,pagada
337,1351,3,domicilio,,2025-08-17 19:48:09,pagada
338,320,5,en_mesa,13.0,2025-09-07 23:27:45,anulada
339,372,1,para_llevar,,2025-06-30 19:54:02,pagada
340,1325,4,en_mesa,2.0,2026-02-19 02:01:14,pagada
341,1494,5,para_llevar,,2025-08-19 16:40:32,pagada
342,1321,3,para_llevar,,2026-01-23 00:27:03,cortesia
343,723,5,en_mesa,12.0,2025-12-13 15:46:28,cortesia
344,350,4,en_mesa,1.0,2025-05-07 14:49:23,pagada
345,909,4,en_mesa,9.0,2025-05-12 15:24:39,pagada
346,863,2,para_llevar,,2026-02-04 19:25:14,pagada
347,1027,3,en_mesa,14.0,2025-08-22 08:18:07,cortesia
348,744,2,para_llevar,,2025-08-26 01:30:28,anulada
349,1472,1,domicilio,,2025-09-26 09:47:33,anulada
350,1103,1,domicilio,,2026-03-24 15:36:39,anulada
351,348,1,en_mesa,2.0,2025-11-05 02:22:44,pagada
352,1167,5,en_mesa,12.0,2026-01-08 16:03:59,pagada
353,512,3,domicilio,,2025-10-25 04:40:05,pagada
354,116,5,en_mesa,13.0,2025-07-15 23:33:57,pagada
355,1313,1,domicilio,,2026-03-08 02:47:39,pagada
356,748,5,para_llevar,,2025-09-22 01:16:47,pagada
357,1398,2,domicilio,,2025-04-17 13:41:34,anulada
358,1070,3,en_mesa,6.0,2025-07-30 11:05:23,pagada
359,1009,2,domicilio,,2026-02-10 16:33:43,anulada
360,997,1,domicilio,,2025-08-03 13:29:42,pagada
361,1428,5,en_mesa,8.0,2025-04-03 21:17:27,cortesia
362,1136,5,para_llevar,,2025-08-13 19:34:37,cortesia
363,813,5,en_mesa,11.0,2025-06-27 05:34:36,pagada
364,273,3,en_mesa,15.0,2026-03-24 16:38:48,pagada
365,380,4,en_mesa,4.0,2025-07-24 17:54:03,cortesia
366,1112,5,en_mesa,3.0,2025-12-09 13:46:19,cortesia
367,171,5,en_mesa,11.0,2025-09-16 00:45:29,anulada
368,768,5,para_llevar,,2025-09-21 15:54:07,pagada
369,597,5,para_llevar,,2026-02-26 02:30:13,pagada
370,1264,4,en_mesa,3.0,2025-11-16 02:05:24,pagada
371,408,2,para_llevar,,2025-11-12 11:51:37,pagada
372,16,1,domicilio,,2025-04-09 04:07:01,anulada
373,871,3,para_llevar,,2026-02-14 23:52:50,pagada
374,889,2,domicilio,,2025-10-12 02:50:29,pagada
375,901,1,para_llevar,,2025-07-16 20:54:10,pagada
376,1320,1,en_mesa,1.0,2025-08-21 07:33:30,pagada
377,1186,1,domicilio,,2025-07-09 18:44:46,pagada
378,935,2,para_llevar,,2025-05-28 17:15:03,pagada
379,483,2,para_llevar,,2025-09-05 02:24:35,pagada
380,1013,2,en_mesa,11.0,2025-05-13 05:42:54,pagada
381,650,2,para_llevar,,2026-02-13 12:05:00,pagada
382,705,1,para_llevar,,2025-06-10 15:50:35,anulada
383,1125,1,en_mesa,15.0,2025-10-04 15:37:16,pagada
384,1425,4,domicilio,,2025-11-06 10:28:45,pagada
385,1250,5,para_llevar,,2025-12-02 00:00:27,pagada
386,133,2,domicilio,,2025-10-24 03:37:42,cortesia
387,146,5,para_llevar,,2025-06-24 16:21:57,pagada
388,424,3,en_mesa,2.0,2025-09-17 09:49:32,pagada
389,815,3,para_llevar,,2025-07-21 10:28:56,pagada
390,1444,2,domicilio,,2025-08-21 22:14:08,pagada
391,491,4,en_mesa,3.0,2025-10-10 21:47:12,anulada
392,1143,1,en_mesa,7.0,2025-10-23 17:13:47,cortesia
393,1303,3,en_mesa,12.0,2025-04-16 11:30:44,cortesia
394,1490,5,para_llevar,,2025-05-08 04:43:29,cortesia
395,309,5,domicilio,,2026-02-18 07:04:55,anulada
396,361,4,para_llevar,,2026-03-20 12:50:29,pagada
397,223,2,para_llevar,,2025-11-10 20:20:25,pagada
398,539,5,para_llevar,,2025-05-20 16:45:01,anulada
399,1076,1,en_mesa,10.0,2026-01-18 15:04:22,pagada
400,882,5,para_llevar,,2025-10-21 09:12:11,anulada
401,515,1,para_llevar,,2026-02-22 09:00:59,cortesia
402,817,5,en_mesa,5.0,2026-01-02 13:10:29,pagada
403,1158,3,domicilio,,2026-02-20 15:32:23,pagada
404,477,4,domicilio,,2025-06-22 16:34:10,cortesia
405,1321,1,domicilio,,2026-03-24 04:20:48,pagada
406,77,2,para_llevar,,2025-07-24 07:20:16,pagada
407,1488,3,para_llevar,,2025-06-01 22:19:03,pagada
408,322,4,en_mesa,4.0,2025-07-06 09:57:59,pagada
409,565,2,domicilio,,2025-05-02 16:13:41,pagada
410,1439,3,domicilio,,2026-03-24 17:56:21,cortesia
411,1439,2,domicilio,,2026-03-14 18:56:33,pagada
412,57,3,domicilio,,2026-03-09 13:01:53,pagada
413,48,2,domicilio,,2026-01-11 05:10:13,pagada
414,901,4,en_mesa,4.0,2025-05-04 22:19:01,pagada
415,868,3,domicilio,,2025-11-16 10:05:33,pagada
416,1405,2,en_mesa,3.0,2026-02-06 17:41:43,pagada
417,974,3,domicilio,,2025-04-05 10:37:54,pagada
418,1420,1,para_llevar,,2025-10-13 18:34:57,cortesia
419,837,4,en_mesa,6.0,2025-04-19 02:14:01,pagada
420,1419,4,para_llevar,,2026-03-24 21:34:56,pagada
421,792,3,domicilio,,2025-11-26 04:41:10,pagada
422,304,2,en_mesa,14.0,2025-06-16 01:22:34,pagada
423,888,1,en_mesa,1.0,2026-03-22 04:10:43,cortesia
424,1454,3,para_llevar,,2026-02-02 08:49:22,pagada
425,497,1,para_llevar,,2025-09-04 23:25:07,pagada
426,1186,4,domicilio,,2026-01-30 15:38:39,anulada
427,726,1,domicilio,,2026-03-09 18:45:07,pagada
428,475,3,para_llevar,,2025-06-30 02:34:11,pagada
429,259,5,en_mesa,7.0,2026-02-16 14:48:48,anulada
430,916,4,para_llevar,,2026-02-22 05:44:55,pagada
431,1192,2,domicilio,,2025-08-31 07:12:36,cortesia
432,201,5,domicilio,,2025-11-08 03:24:55,pagada
433,141,3,para_llevar,,2025-09-04 17:35:08,pagada
434,452,1,en_mesa,1.0,2025-07-25 12:21:36,pagada
435,350,2,domicilio,,2025-04-05 12:42:49,pagada
436,1162,2,en_mesa,5.0,2025-08-05 21:02:47,anulada
437,647,5,para_llevar,,2025-05-02 07:21:36,pagada
438,1121,1,en_mesa,4.0,2025-07-12 00:45:24,cortesia
439,246,4,domicilio,,2026-01-26 14:12:06,anulada
440,231,1,domicilio,,2025-08-14 03:31:47,anulada
441,1415,5,en_mesa,15.0,2025-10-11 19:21:42,cortesia
442,339,1,en_mesa,7.0,2025-08-03 01:15:35,pagada
443,1295,2,en_mesa,13.0,2026-02-16 22:45:19,pagada
